ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
9.375,Q,W. 19 Rd. bet Jamaica Bay and Cross Bay Blvd.,Sunset Cove Park,Nature Area,http://www.nycgovparks.org/parks/Q498/,11693
249.389,Q,"Astoria Blvd. and 48 St. to Union Tp., Park Drive East.",Grand Central Parkway Extension,Parkway,http://www.nycgovparks.org/parks/Q084A/,11103113671136811369113701137111375
2.035,Q,251 St. bet. 61 Ave. and 63 Ave.,Challenge Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q346/,11362
63.636,B,Eastern Pkwy. bet. Grand Army Plaza and Ralph Ave.,Eastern Parkway,Parkway,http://www.nycgovparks.org/parks/B029/,1121311216112251123311238
326.895,Q,Whitestone Exwy. at 13 Ave. to the Linden Blvd and the Belt Pkwy.,Cross Island Parkway,Parkway,http://www.nycgovparks.org/parks/Q135/,110031135711359113601136111362113641
10.79,Q,"169 St., Merrick Blvd., Marne Pl. bet. Linden Blvd., Sayres Ave., and 111 Rd.",Archie Spigner Park,Community Park,http://www.nycgovparks.org/parks/Q051/,11433
3.301,X,"Gleason Ave., Watson Ave. bet. Noble Ave., and Rosedale Ave.",Watson Gleason Playground,Neighborhood Park,http://www.nycgovparks.org/parks/X124/,10472
13.75,Q,Seagirt Blvd bet. B. 17 St. and B. 12 St.,Beach 17 Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q162J/,11691
0.1,Q,Linden Blvd. bet. Farmers Blvd. and 190 St.,Garden,Garden,,11412
0.321,Q,Beach 43 St. bet. Edgemere Dr. and Norton Ave.,Edgemere Coalition,Garden,,11691
0.057,Q,29 St. bet. 40 Ave. and 39 Ave.,Windmill Community Garden,Garden,,11101
0.074,B,Monroe St. between Tompkins Ave. and Marcy Ave.,Shiloh Garden,Garden,http://www.nycgovparks.org/parks/B502/,11216
0.115,B,Powers St. between Judge St. and Olive St.,St Nicholas-powers St Garden,Garden,http://www.nycgovparks.org/parks/B426/,11211
0.059,Q,Liberty Ave. bet. 168 St. and 168 Pl.,Ashmead Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q003/,11433
0.396,Q,"Merrick Blvd., 171 Pl. bet. 110 Ave. and 110 Rd.",Brinkerhoff Mall,Triangle/Plaza,http://www.nycgovparks.org/parks/Q447/,11433
0.135,Q,Vernon Blvd. bet. 50 Ave. and 51 Ave.,Vernon Mall,Mall,http://www.nycgovparks.org/parks/Q435/,11101
0.19,B,"New Lots Ave. bet. Sackman St., Powell St. and Junius St.",Green Valley Garden,Garden,http://www.nycgovparks.org/parks/B486/,11212
1.836,B,Belmont Ave. to Sutter Ave. between Schenck Ave. and Barbey St.,Sutter Ballfields,Recreational Field/Courts,http://www.nycgovparks.org/parks/B419/,11207
0.038,X,N/B Cross Bronx Exwy bet. Belmont Av and Arthur Av,Park,Strip,http://www.nycgovparks.org/parks/X148G/,10457
0.03,Q,"Astoria Blvd., 25 Ave., 88 St.",O'Sullivan Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/Q160/,11369
0.026,Q,"Astoria Blvd., 24 Ave., 81 St.",Park,Triangle/Plaza,,11369
1.085,Q,37 Av bet. 112 and 113 Sts,Louis Armstrong Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q415/,11368
1.466,Q,Union St. bet. 31 Rd. and 31 Dr.,Colden Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q347/,11354
46.657,M,Harlem River Dr. from E. 131 St. to W. 145 St. and W. 155 St. to Dyckman St.,Harlem River Park,Parkway,http://www.nycgovparks.org/parks/M039/,10032100331003410037100391004010451
0.023,Q,Horace Harding Exwy. Sr. Rd. N. bet. Douglaton Pkwy. and 244 St.,Park,Strip,http://www.nycgovparks.org/parks/Q357D/,11362
2.98,Q,"73 Ave., Jewel Ave. bet. Utopia Pkwy. and 179 St.",Utopia Playground,Neighborhood Park,http://www.nycgovparks.org/parks/Q294/,11365
0.25,Q,"Northern Blvd., 43 Ave. bet. 169 St. and 170 St.",Plaut Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q073/,11358
2.066,Q,230 St. bet. 57 Ave. and 57 Rd.,Linnaeus Park,Recreational Field/Courts,http://www.nycgovparks.org/parks/Q388/,11364
0.316,Q,Clearview Exwy. bet. Lori Dr. and 15 Dr.,Baybridge Green,Strip,http://www.nycgovparks.org/parks/Q387E/,11360
171.2,Q,"Union Tp., Park Drive East to Nassau County Line",Grand Central Parkway,Parkway,http://www.nycgovparks.org/parks/Q084/,110041100511362113641136711423114261
0.467,Q,"Queens Blvd. bet.  48 St., Greenpoint Ave. and 50 St.",Sabba Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q034/,11377
1.71,Q,Woodside Ave. bet. 54 St. and 56 St.,Doughboy Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q031A/,11377
0.196,Q,"108 St., Corona Ave. bet. 51 Ave. and 52 Ave.",William F Moore Park,Neighborhood Park,http://www.nycgovparks.org/parks/Q029/,11368
1.102,Q,N. Conduit Ave. bet. 230 Pl. and the Belt Pkwy.,Mentone Playground,Undeveloped,http://www.nycgovparks.org/parks/Q096C/,11413
0.124,R,Richmond Ter. bet. Tompkins Ct. and Alaska St.,Richmond Terrace Cemetery,Cemetery,http://www.nycgovparks.org/parks/R154/,10310
0.11,B,Snediker Ave. bet. Newport St. and Riverdale Ave.,Positive Seeds of Life Garden,Garden,,11207
3.39,B,"Ft Hamilton Pkwy., Prospect Ave., Greenwood Ave.",Greenwood Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B130/,11218
0.625,M,"5 Av, W 58 St To W 59 St",Grand Army Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/M062/,10019
0.101,Q,"Douglaston Pkwy., 240 St. bet. 42 Ave. and 43 Ave.",Catharine Turner Richardson Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q059/,11363
5.4,Q,"32 Ave., 33 Ave. bet. Corporal Kennedy St. and 210 St.",Raymond O���Connor Park,Neighborhood Park,http://www.nycgovparks.org/parks/Q103/,11361
0.39,X,Bruckner Blvd bet. Hollywood Ave. and Crosby Ave.,Miele Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X149A/,10461
1146.43,X,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",Van Cortlandt Park,Flagship Park,http://www.nycgovparks.org/parks/X092/,1046710470104711070510705
1,M,"Lenox Ave, W. 113 St. To W. 114 St.","Martin Luther King, Jr. Playground",Neighborhood Park,http://www.nycgovparks.org/parks/M198/,10026
37.064,R,"West Shore Exwy. Meredith Ave. to South Ave., and at Richmond Pkwy.",Meredith Woods,Nature Area,http://www.nycgovparks.org/parks/R112/,1030910314
0.705,B,Lafayette Ave. and Franklin Ave.,Lafayette Gardens Playground,Playground,http://www.nycgovparks.org/parks/B317/,11205
0.123,B,Kingsland Ave. between Skillman Ave. and Maspeth Ave.,Red Shed Garden,Garden,http://www.nycgovparks.org/parks/B489/,11211
0.096,X,"Mohegan Ave., Crotona Pkwy., E. 179 St.",Mohegan Triangle,Playground,http://www.nycgovparks.org/parks/X334/,10460
0.232,X,E. Tremont Ave. at Valentine Ave. bet. Carter Ave.,O'Brien Oval,Triangle/Plaza,http://www.nycgovparks.org/parks/X037/,10457
0.05,X,Hoe Ave. bet. Home St. and Freeman St.,Freeman Garden,Garden,http://www.nycgovparks.org/parks/X270/,10459
44.733,R,"Gulf Ave., Goethals Br. Appr. bet. Western Ave. and Arthur Kill",Old Place Creek Park,Nature Area,http://www.nycgovparks.org/parks/R159/,10314
0.082,M,Madison Ave. bet. E. 111 St. and E. 112 St.,Diversity Edible Farm,Garden,,10029
2.913,B,"Cadman Plaza East, Adams St. bet. Red Cross Pl. and Tillary St.",Walt Whitman Park,Triangle/Plaza,http://www.nycgovparks.org/parks/B113E/,11201
0.66,B,Bedford Ave. bet. Erasmus St. and Church St.,Flatbush African Burial Ground,Undeveloped,,11226
0.248,B,Schenck Ave. and Glenmore Ave.,Herbal Garden,Garden,http://www.nycgovparks.org/parks/B475/,11207
0.081,B,Hancock St. between Tompkins Ave. and Throop Ave.,Hancock T and T,Garden,http://www.nycgovparks.org/parks/B473/,11216
0.957,Q,"Broadway, Bridge St. bet. 160 Ave. and Russell St.",Park,Undeveloped,,11414
0.183,X,E 173 St bet. Weeks Av and Eastburn Av,Garden Of Life,Garden,http://www.nycgovparks.org/parks/X298/,10457
1.82,X,E. Gunhill Rd. and Eastchester Rd. bet. Arnow Ave. and Adee Ave..,Givan Square,Playground,http://www.nycgovparks.org/parks/X187/,10469
0.099,Q,"21 Ave., 20 Ave., bet. 76 St. and 77 St.",Carlos R. Lillo Park,Triangle/Plaza,http://www.nycgovparks.org/parks/Q491/,11370
0.117,M,W. 122 St. bet. Fred Douglass Blvd. and Adam Clayton Powell Blvd.,Joseph Daniel Wilson Garden,Garden,http://www.nycgovparks.org/parks/M351/,10027
0.209,Q,182 Street bet. 69 Ave. and 73 Ave.,Brinckerhoff Cemetery,Cemetery,,11365
31.5,Q,"Ocean Promenade, bet. Beach 126 St. and Beach 110 St.",Rockaway Beach,Waterfront Facility,http://www.nycgovparks.org/parks/Q050/,11694
6.401,B,"Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.",Cooper Park,Neighborhood Park,http://www.nycgovparks.org/parks/B025/,11211
3.8,M,"Columbus Ave., Amsterdam Ave., W. 63 St. and W. 65 St.",Lincoln Center Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/M232/,10023
0.444,X,Meyers St. bet. Haskin St. and Bruckner Blvd.,Throgs Neck Park,Undeveloped,http://www.nycgovparks.org/parks/X050/,10461
14.257,B,"Flatbush Ave., Eastern Pkwy. and Prospect Park",Grand Army Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/B040/,112151121711238
0.09,B,BQE bet. Pineapple St. and Orange St.,Brooklyn Heights Promenade,Triangle/Plaza,http://www.nycgovparks.org/parks/B223DJ/,11201
1.11,X,Westchester Ave. bet. Virginia Ave. and Metropolitan Ave.,Hugh J. Grant Circle,Triangle/Plaza,http://www.nycgovparks.org/parks/X025/,1046210472
0.012,B,"Broadway, Stuyvesant Ave., Vernon Ave.",Beattie Square,Triangle/Plaza,http://www.nycgovparks.org/parks/B006/,11221
1.101,B,"Lynch St., Middleton St. bet. Lee Ave. and Bedford Ave.",Sarah J.S. Tompkins Garnet Playground,Playground,http://www.nycgovparks.org/parks/B022/,11206
7.683,Q,Liberty Ave. bet. 172 St. and 173 St.,Detective Keith L Williams Park,Community Park,http://www.nycgovparks.org/parks/Q121/,11433
0.119,M,E. 12 St. bet. Ave. B and Ave. C,Campos Garden,Garden,http://www.nycgovparks.org/parks/M359/,10009
2.203,B,"Belt Pkwy., Fresh Creek, Seaview Ave.",Spring Creek Park,Nature Area,,11239
0.739,B,Frost St. bet. Debevoise Ave. and Kingsland Ave.,Frost Playground,Playground,http://www.nycgovparks.org/parks/B257/,11211
1.398,B,Dumont Ave. between Powell St. and Mother Gaston Blvd.,Van Dyke Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B249/,11212
0.997,M,Second Ave. bet. E. 90 St. and E. 91 St.,Ruppert Park,Neighborhood Park,http://www.nycgovparks.org/parks/M294/,10128
0.022,Q,Horace Harding Exwy. Sr. Rd. N. bet. 94 St. and Junction Blvd,Park,Strip,http://www.nycgovparks.org/parks/Q357/,11373
0.095,M,"W. 87 St., Columbus Ave., Central Park W.",W 87th Street Garden,Garden,http://www.nycgovparks.org/parks/M307/,10024
2.446,Q,67 Ave. bet. 230 St. and 233 St.,Alley Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q356/,11364
0.35,M,"W. 47 St.,  W. 48 St., 9 Ave., 10 Ave.",Clinton Community Garden,Garden,http://www.nycgovparks.org/parks/M281/,10036
0.033,B,Corner of Nostrand Ave. and Madison St.,Stars Of Hope,Garden,http://www.nycgovparks.org/parks/B503/,11216
0.211,B,St Mark's Ave. and Ralph Ave.,St Mark's Block Association,Garden,http://www.nycgovparks.org/parks/B501/,11233
0.046,B,Nostrand Ave. and Greene Ave.,Greene Av United Neighbors Association *,Garden,http://www.nycgovparks.org/parks/B472/,11216
0.292,Q,71 Ave. bet. 156 St. and Parsons Blvd.,Legacy Park,Playground,,11367
0.037,X,La Fontaine Ave. bet. E. 178 St. and E. 179 St.,United Gardens,Undeveloped,,10457
2.65,B,East River bet. Huron St. and India St.,Greenpoint Public Park,Neighborhood Park,,11222
0.382,M,"7 Ave., W. 12 St., and Greenwich Ave.",NYC AIDS Memorial Park at St. Vincent���s Triangle,Triangle/Plaza,,10011
0.137,B,Van Burnen St. bet. Tompkins Ave. and Throop Ave.,Hattie Carthan Herban Farm,Garden,,11221
0.179,X,E 157 St. bet. 3 Ave. and Brook Ave.,Centro Cultural Rincon Criollo,Garden,,10451
0.047,M,W 119 St. bet. Lenox Ave. and 5 Ave.,Walter Miller III Memorial Garden (La Casa Frela),Garden,,10026
0.656,M,"Audubon Ave., W. 169 St. and W. 170 St.",Audubon Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M240/,10032
1.243,B,W. 12 St. between Neptune Ave. and Surf Ave.,Neptune Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B331/,11224
0.009,B,N/B Gowanus Exwy. bet. 63 St. and 64 St.,64th Street Community Garden,Strip,http://www.nycgovparks.org/parks/B210L/,11220
0.83,X,Rev James Polite Av bet. E 163 St and E 164 St,Stebbins Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X211/,10459
0.322,X,"Watson Ave., Blackrock Ave. bet. Virginia Ave., Pugsley Ave.",FDNY-EMT Yadira Arroyo Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X205/,10472
1.578,X,Guerlain St. bet. Taylor Ave. and Thieriot Ave.,Taylor Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/X176/,10460
0.619,Q,Gravett Rd. bet. Main St. and 149 St.,Cedar Grove Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q376/,11367
2.939,Q,121 Ave. bet. 235 St. and 237 St.,Delphin H. Greene Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q307/,11411
1.699,Q,Alderton St. bet. Dieterle Cr. and Ellwell Cr.,The Painter's Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q306/,11374
2.554,Q,Robard La. bet. Hollis Ave. and Montery St.,Wayanda Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q082/,11429
0.008,Q,"Grand Ave., 57 Ave. bet. 72 Pl and Mazeau St.",Garlinge Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/Q019/,11378
1.314,Q,88 Ave. to 89 Ave. at 90 St.,Equity Playground,Playground,http://www.nycgovparks.org/parks/Q053/,11421
1.7,M,W. 97 St. and Amsterdam Ave.,Happy Warrior Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/M229/,10025
1.5,B,Gold St. between Nassau St. and Concord St.,Golconda Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B243/,11201
145.935,R,"Arthur Kill Rd., Arden Ave. and Halpin Ave.",Arden Woods,Nature Area,http://www.nycgovparks.org/parks/R120/,10312
0.23,B,E. 103 St. to E. 104 St. between Ave. J and Ave. K,P.S. 279 Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B305/,11236
0.53,X,"City Island Ave., City Island Bridge",Catherine Scott Promenade,Waterfront Facility,,10464
166.71,Q,Atlantic Ocean bet. B. 149 St. and B. 126 St.,Rockaway Beach,Waterfront Facility,http://www.nycgovparks.org/parks/Q164/,11694
0.031,X,Nelson Av bet. W 172 St and Cross Bronx Exwy,Park,Strip,http://www.nycgovparks.org/parks/X148A1/,10452
0.901,Q,Van Wyck Exwy. bet. 94 Ave. and 95 Ave.,Gateway Park,Neighborhood Park,,11435
0.009,X,W. Kingsbridge Ave at Reservoir Ave.,Barnhill Square,Triangle/Plaza,http://www.nycgovparks.org/parks/X001B/,10468
2.633,M,Hudson Blvd. bet. W. 37 St. and W. 33 St.,Bella Abzug Park,Neighborhood Park,http://www.nycgovparks.org/parks/M399/,1000110018
0.03,Q,"Justice Ave., 90 St., 56 Ave.",Horsebrook Island,Triangle/Plaza,http://www.nycgovparks.org/parks/Q152/,11373
0.041,B,Louis Pl. between Herkimer St. and Atlantic Ave.,Louis Pl Friends,Garden,http://www.nycgovparks.org/parks/B498/,11233
0.82,X,Brook Av to 3 Av bet. E 157 St and E 158 St,Flynn Playground,Playground,http://www.nycgovparks.org/parks/X146/,10451
2.5,X,Washington to Bathgate Av bet. W 181 St and E 183 St,Bathgate Playground,Neighborhood Park,http://www.nycgovparks.org/parks/X252/,10457
0.131,X,Bryant Ave. at E. 174 St.,Angie Lee Gonzales Garden,Garden,http://www.nycgovparks.org/parks/X339/,10460
6.234,M,"Broadway, Madison Ave. bet. E. 23 St. and E. 26 St.",Madison Square Park,Neighborhood Park,http://www.nycgovparks.org/parks/M052/,10010
0.636,X,Elton Av bet. E 161 St and E 162 St,O'Neill Triangle,Neighborhood Park,http://www.nycgovparks.org/parks/X053/,10451
0.205,Q,Lewis Ave. bet. 101 St. and 102 St.,Sparrow's Nest Community Garden,Garden,http://www.nycgovparks.org/parks/Q473/,11368
0.489,B,"York St., through BQE bet. Adams St. and Pearl St.",Bar and Grill Park,Parkway,http://www.nycgovparks.org/parks/B223IB/,11201
8.25,B,"73 St., Ft. Hamilton Pkwy., 7 Ave.",McKinley Park,Neighborhood Park,http://www.nycgovparks.org/parks/B060/,11228
0.206,R,"De Kalb St., Targee St., Narrows Rd. N.",Targee Street Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/R164/,10304
1.075,X,Melrose Ave. bet. E. 160 St. and E. 159 St.,Yolanda Garc��a Park,Neighborhood Park,http://www.nycgovparks.org/parks/X353/,10451
0.28,R,Hylan Blvd. at Sand La.,Staats Circle,Triangle/Plaza,http://www.nycgovparks.org/parks/R010/,10305
0.054,R,"Amboy Rd., Bloomingdale Rd.",Pleasant Plains Plaza,Triangle/Plaza,http://www.nycgovparks.org/parks/R002/,10309
0.052,M,Madison Ave. bet. E. 116 St. and E. 117 St.,Peaceful Valley Garden,Garden,http://www.nycgovparks.org/parks/M367/,10035
1.236,B,3 Ave. bet. 40 St. and 41 St.,Gonzalo Plasencia Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B210I/,11232
0.743,X,University Av bet. W 174 St and W Tremont Av,University Malls,Mall,http://www.nycgovparks.org/parks/X082/,10453
0.145,Q,Southgate Plaza bet. 140 Ave. and 139 Ave.,South Gate Mall,Mall,http://www.nycgovparks.org/parks/Q277/,11413
0.89,B,Macdonough St. between Malcolm X Blvd. and Stuyvesant Ave.,El Shabazz Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B313/,11233
0.536,B,Stanley Ave. between Autumn Ave. and Hemlock St.,Woodruff Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B312/,11208
0.092,M,"Riverside Dr., W. 181 St. To Haven Ave.",Plaza Lafayette,Triangle/Plaza,http://www.nycgovparks.org/parks/M061/,10033
0.402,X,"Tinton Av, E 150th St and Union Av",El Flamboyan Garden,Garden,http://www.nycgovparks.org/parks/X233A/,10455
0.444,B,Ave. Y between Coyle St. and Batchelder St.,Yak Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B308/,11235
0.868,B,Ave. Y between Brown St. and Haring St.,Playground 286,Jointly Operated Playground,http://www.nycgovparks.org/parks/B306/,11235
0.229,B,Jerome St. and Glenmore Ave.,Garden Party,Garden,http://www.nycgovparks.org/parks/B522/,11207
7.84,X,"Johnson Av, W 232 St, Riverdale Av",Ewen Park,Neighborhood Park,http://www.nycgovparks.org/parks/X019/,10463
5.829,M,"W. 52 St. To W. 54 St., 11 Ave. To 12 Ave.",De Witt Clinton Park,Playground,http://www.nycgovparks.org/parks/M022/,10019
16.944,R,Bayview Ter. from Barclay Ave. to Harold Ave.,Bayview Terrace Park,Nature Area,http://www.nycgovparks.org/parks/R137/,10312
0.252,R,Bayview Ter. bet. Holdridge Ave. and Bennett Pl.,Garden,Garden,http://www.nycgovparks.org/parks/R137A/,10312
0.351,M,E. 127 St. and Harlem River Drive,Harlem River Park,Triangle/Plaza,http://www.nycgovparks.org/parks/M208G/,10035
0.203,M,"Lexington Ave., E. 130 St. to E. 131 St.",Harlem River Park,Triangle/Plaza,http://www.nycgovparks.org/parks/M208C/,10037
0.1,X,"Soundview Ave., Underhill Ave., Patterson Ave.",Woodrow Wilson Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X065/,10473
0.004,B,N/B Gowanus Exwy. bet. 85 St. and 86 St.,Park,Strip,http://www.nycgovparks.org/parks/B210T/,11209
0.667,B,"Kings Highway, Ave. M, E. 34 St. to E. 35 St.",Fraser Square,Triangle/Plaza,http://www.nycgovparks.org/parks/B173/,11234
0.102,B,"Union Ave., Meeker Ave., Jackson St.",Mt. Carmel Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B226/,11211
0.281,B,"Prospect Ave., 6 Ave., Prospect Exwy.",Park,Parkway,http://www.nycgovparks.org/parks/B255D/,11215
0.033,R,Dongan Ave. at Hodges Pl.,Dodgers Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/R060/,10314
0.11,B,"Ave. P, Madison Pl., Nostrand Ave.",Aimee Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B273/,11229
0.183,B,"Penn St., Wythe Ave., Williamsburg St. E.",Penn Triangle,Playground,http://www.nycgovparks.org/parks/B223NC/,11211
0.206,B,"Kent Ave., Classon Ave., Wallabout St.",Classon Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B223NB/,11211
0.476,Q,"Horace Harding Exwy. Sr. Rd. S., 138 St., 61 Rd.",Turtle Playground,Playground,http://www.nycgovparks.org/parks/Q357G/,11367
0.048,Q,"First Calvery, Greenpoint Ave., Gale St.",Calvary Monument,Cemetery,http://www.nycgovparks.org/parks/Q224/,11101
0.57,B,"Metropolitan, Union, Meeker Avs",Macri Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B223S/,11211
0.241,Q,75 St. bet. 37 Ave. and Woodside Ave.,Elmjack Mall,Mall,http://www.nycgovparks.org/parks/Q040/,1137211373
0.667,X,"Major Deegan Exwy, Cedar Ave., W. Fordha",Gasoline Alley,Strip,http://www.nycgovparks.org/parks/X150D/,10468
2.356,R,Pier 6 at Victory Blvd.,Park,Nature Area,http://www.nycgovparks.org/parks/R044/,10301
0.85,R,"Forest Ave., Goethals Rd. N., Meeker Ave.",Joseph Manna Park,Triangle/Plaza,http://www.nycgovparks.org/parks/R127/,10303
0.222,M,"Hudson St, 8 Av, W 12 St",Abingdon Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M001/,10014
0.381,X,Goble Pl bet. Inwood Av and Macombs Rd,Goble Playground,Playground,http://www.nycgovparks.org/parks/X114/,10452
0.067,M,"St Nicholas Av, Manhattan Av, W 123 St",Hancock Park,Triangle/Plaza,http://www.nycgovparks.org/parks/M034/,10027
0.002,Q,"Van Horn St. at 59 Ave., LIE",Park,Strip,http://www.nycgovparks.org/parks/Q360V/,11373
0.436,X,"Albany Crescent, W 233 St, Major Deegan",Crescent Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X150H/,10463
0.35,X,Broadway bet. W 239 St and Van Cortlandt Pa,Van Cortlandt's Tail,Triangle/Plaza,http://www.nycgovparks.org/parks/X150L/,10463
0.094,M,"Grand St, E Broadway and Willet St",Ahearn Park,Triangle/Plaza,http://www.nycgovparks.org/parks/M002/,10002
0.15,X,Cross BX Exwy bet. Jesup Av and Macombs Rd,Park,Strip,http://www.nycgovparks.org/parks/X148B/,10452
0.141,X,Cross Bronx Exwy Service Rd N bet. Topping Av and Clay Av,Peace Park,Playground,http://www.nycgovparks.org/parks/X148E/,10457
0.037,X,Cross Bronx Exwy bet. Townsend Av and Walton Av,Walton Walk,Strip,http://www.nycgovparks.org/parks/X148C6/,10453
0.213,X,Fetherbed La bet. Davidson Av and Jerome Av,Featherbenches,Triangle/Plaza,http://www.nycgovparks.org/parks/X148C1/,10452
4.22,R,Kingdom Ave. bet. Hylan Blvd. and Jansen St.,Kingdom Pond Park,Nature Area,http://www.nycgovparks.org/parks/R138/,10312
3.32,Q,St Felix Ave. bet. Seneca Ave. and 60 Pl.,Evergreen Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q302/,11385
0.017,B,"New Lots Ave., Dumont Ave., Atkins Ave.",Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B155/,11208
0.622,B,Elton St. bet. New Lots Ave. and Hegeman Ave.,Elton Playground,Playground,http://www.nycgovparks.org/parks/B149A/,11208
22.882,R,"Greaves Ave., Dewey Ave. and Evergreen St.",Siedenburg Park,Nature Area,http://www.nycgovparks.org/parks/R121/,10308
0.785,R,"8 St., bet. Allison Ave. and Beach Ave.",New Dorp Park,Nature Area,http://www.nycgovparks.org/parks/R107/,10306
1.5,B,"Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.",Decatur Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B215/,11233
5.848,R,"Drumgoole Rd. E., from Huguenot Ave. to Ida Ct.",Park,Parkway,http://www.nycgovparks.org/parks/R098/,10312
0.1,B,"Middleton St., Harrison Ave., Union Ave.",Harmony Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/B194/,11206
0.001,Q,LIE Srv. Rd. S. at 86 St.,Park,Strip,http://www.nycgovparks.org/parks/Q360W/,11373
5.765,R,"Boundary Ave., Midland Ave., Lincoln Ave., Poultney St.",Park,Nature Area,http://www.nycgovparks.org/parks/R038B/,10306
0.294,X,"Cross BX Exwy, Plimpton, Nelson Avs",Park,Strip,http://www.nycgovparks.org/parks/X148A/,10452
0.167,X,Cross Bronx Exwy bet. Dr MLK Jr Blvd and Plimton Av,Park,Parkway,http://www.nycgovparks.org/parks/X148A4/,10452
0.36,X,W Mount Eden Av bet. Inwood and Jerome Av,Inwood Park,Triangle/Plaza,http://www.nycgovparks.org/parks/X148C3/,10452
0.712,X,Jackson Av bet. E 147 St and E 145 St,I-Am-Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/X228/,10455
0.12,X,"E 238 St, Oneida Av, Van Cortlandt Park E",Rita Ley Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X096/,10470
0.455,X,Bainbridge Ave. bet. Van Cortlandt Ave.,Valentine Varian House,Historic House Park,http://www.nycgovparks.org/parks/X215/,10467
0.806,X,"Jerome Ave., Mosholu Pkwy, Grand Concour",Risse Street Park,Neighborhood Park,http://www.nycgovparks.org/parks/X335/,10468
15.32,X,Paul Ave. - Goulden Ave. bet. Bedford Par,Harris Park,Neighborhood Park,http://www.nycgovparks.org/parks/X136/,10468
0.04,M,W. 105 St. bet. Columbus Ave. and Manhattan Ave.,La Perla Garden,Garden,http://www.nycgovparks.org/parks/M373/,10025
4.72,X,E 170 St bet. Sheridan Av and Morris Av,Grant Park,Neighborhood Park,http://www.nycgovparks.org/parks/X271/,10456
0.494,X,W 164 St and Nelson Av bet. Ogden Av and Woodycrest Ave,Taqwa Community Farm,Garden,http://www.nycgovparks.org/parks/X296/,10452
0.061,X,Summit Ave. at W. 164 St.,Sweetgum Community Garden,Garden,http://www.nycgovparks.org/parks/X303/,10452
0.516,X,E 183 St bet. Washington Av and Park Av,Washington Park,Playground,http://www.nycgovparks.org/parks/X280/,10458
6.219,Q,"Grand Ave., 57 Ave. bet. 74 St. and 80 St.",Elmhurst Park,Community Park,http://www.nycgovparks.org/parks/Q492/,11373
